"homeTeam.href","homeTeam.text","awayTeam.href","awayTeam.text","homeScore","awayScore"
"http://www.basketball-reference.com/teams/ATL/2015.html","Atlanta Hawks","http://www.basketball-reference.com/teams/LAL/2015.html","Los Angeles Lakers","91","86"
"http://www.basketball-reference.com/teams/DEN/2015.html","Denver Nuggets","http://www.basketball-reference.com/teams/NOP/2015.html","New Orleans Pelicans","118","111"
"http://www.basketball-reference.com/teams/CHI/2015.html","Chicago Bulls","http://www.basketball-reference.com/teams/OKC/2015.html","Oklahoma City Thunder","100","109"
"http://www.basketball-reference.com/teams/CLE/2015.html","Cleveland Cavaliers","http://www.basketball-reference.com/teams/ORL/2015.html","Orlando Magic","123","108"
"http://www.basketball-reference.com/teams/NYK/2015.html","New York Knicks","http://www.basketball-reference.com/teams/PHO/2015.html","Phoenix Suns","89","102"
"http://www.basketball-reference.com/teams/MIN/2015.html","Minnesota Timberwolves","http://www.basketball-reference.com/teams/SAS/2015.html","San Antonio Spurs","97","123"
"http://www.basketball-reference.com/teams/POR/2015.html","Portland Trail Blazers","http://www.basketball-reference.com/teams/TOR/2015.html","Toronto Raptors","113","97"
"http://www.basketball-reference.com/teams/PHI/2015.html","Philadelphia 76ers","http://www.basketball-reference.com/teams/BOS/2015.html","Boston Celtics","89","108"
"http://www.basketball-reference.com/teams/OKC/2015.html","Oklahoma City Thunder","http://www.basketball-reference.com/teams/DAL/2015.html","Dallas Mavericks","115","119"
"http://www.basketball-reference.com/teams/LAL/2015.html","Los Angeles Lakers","http://www.basketball-reference.com/teams/GSW/2015.html","Golden State Warriors","105","108"
"http://www.basketball-reference.com/teams/TOR/2015.html","Toronto Raptors","http://www.basketball-reference.com/teams/IND/2015.html","Indiana Pacers","117","98"
"http://www.basketball-reference.com/teams/DEN/2015.html","Denver Nuggets","http://www.basketball-reference.com/teams/MEM/2015.html","Memphis Grizzlies","81","92"
"http://www.basketball-reference.com/teams/CLE/2015.html","Cleveland Cavaliers","http://www.basketball-reference.com/teams/MIA/2015.html","Miami Heat","92","106"
"http://www.basketball-reference.com/teams/BRK/2015.html","Brooklyn Nets","http://www.basketball-reference.com/teams/MIN/2015.html","Minnesota Timberwolves","122","106"
"http://www.basketball-reference.com/teams/ATL/2015.html","Atlanta Hawks","http://www.basketball-reference.com/teams/SAC/2015.html","Sacramento Kings","110","103"
"http://www.basketball-reference.com/teams/CHO/2015.html","Charlotte Hornets","http://www.basketball-reference.com/teams/UTA/2015.html","Utah Jazz","66","94"
"http://www.basketball-reference.com/teams/POR/2015.html","Portland Trail Blazers","http://www.basketball-reference.com/teams/WAS/2015.html","Washington Wizards","97","105"
"http://www.basketball-reference.com/teams/MEM/2015.html","Memphis Grizzlies","http://www.basketball-reference.com/teams/DET/2015.html","Detroit Pistons","95","105"
